,R2 score,RMSE,model,time,features
5,0.7553992073534244,16.976404353881993,KNN,0.157027006149292,29
6,0.9072162425019306,10.455691461130572,rff,1.5856921672821045,29
0,0.22881129133473543,30.220137399634574,OLS,0.012380838394165039,30
1,0.538947680894643,23.366367824143573,ElasticNet,0.01607513427734375,30
2,0.2516832342423576,29.768629523941605,BayesianRidge,0.018480777740478516,30
3,0.5115240544684099,24.051252324523997,Lasso,0.015299797058105469,30
4,0.22901755770896204,30.21609570727024,Ridge,0.006435871124267578,30
5,0.7660023898474753,16.646457044333157,KNN,0.16371917724609375,30
6,0.9104121262136526,10.300082854404955,rff,1.6522700786590576,30
0,-1.1150578398142867,49.84400498472692,OLS,0.012808084487915039,31
1,0.5415975336455907,23.204663738689227,ElasticNet,0.01617574691772461,31
2,-0.943008067005578,47.77372534618146,BayesianRidge,0.019814491271972656,31
3,0.5156812365440817,23.851596513813327,Lasso,0.015960216522216797,31
4,-1.112866292954097,49.818175009370435,Ridge,0.00663304328918457,31
5,0.750707284091497,17.11222969594792,KNN,0.16619086265563965,31
6,0.9045123465727101,10.59071831258851,rff,1.7339363098144531,31
0,0.4341192459294714,25.705389906629158,OLS,0.013057231903076172,32
1,0.543680943303919,23.083201198310267,ElasticNet,0.017667770385742188,32
2,0.45099064852037385,25.319294773527727,BayesianRidge,0.02083110809326172,32
3,0.5155589276703594,23.78385302083059,Lasso,0.016363143920898438,32
4,0.43427696639291913,25.701807395192443,Ridge,0.006829738616943359,32
5,0.748255491552627,17.14516767612258,KNN,0.16471409797668457,32
6,0.9051089927401668,10.526264104605312,rff,1.9052088260650635,32
0,0.5418588605634004,23.295465304483567,OLS,0.015192985534667969,33
1,0.5400898837251058,23.34039625741228,ElasticNet,0.01844167709350586,33
2,0.5502532691182872,23.081060070733322,BayesianRidge,0.021387100219726562,33
3,0.5123897503280718,24.03300941974213,Lasso,0.01726984977722168,33
4,0.5419605741321549,23.292879205751202,Ridge,0.007985830307006836,33
5,0.7514320358588583,17.15909273388949,KNN,0.2078108787536621,33
6,0.9093330677720504,10.363255471123004,rff,1.8956868648529053,33
0,0.5253876120306187,23.652830573936512,OLS,0.014776945114135742,34
1,0.5338911661480961,23.439980878316486,ElasticNet,0.017476797103881836,34
2,0.5384115761157375,23.326041311311396,BayesianRidge,0.019029855728149414,34
3,0.5041267226460041,24.176806715735072,Lasso,0.0174558162689209,34
4,0.5255117846734954,23.64973623138747,Ridge,0.007393598556518555,34
5,0.7565247479491544,16.94107628829058,KNN,0.20866966247558594,34
6,0.9033063516924006,10.6760981912678,rff,2.0192677974700928,34
0,0.5509105354711455,23.061906684855032,OLS,0.01604294776916504,35
1,0.5409743632932625,23.315635001593492,ElasticNet,0.021080970764160156,35
2,0.5568013477954853,22.9101531634419,BayesianRidge,0.0224306583404541,35
3,0.5113803756176769,24.055491227639834,Lasso,0.0212247371673584,35
4,0.5509900605466707,23.059864685193034,Ridge,0.007863044738769531,35
5,0.7565789724307505,16.978832456698687,KNN,0.1815798282623291,35
6,0.9083273142796865,10.419544999738164,rff,2.0537121295928955,35
0,-0.5513102766032165,42.612359605178135,OLS,0.02710247039794922,36
1,0.540505073724605,23.191380893690575,ElasticNet,0.03572583198547363,36
2,-0.398420368729991,40.45806605905112,BayesianRidge,0.03246307373046875,36
3,0.5135023153288668,23.863087708895268,Lasso,0.03789162635803223,36
4,-0.5497354153630014,42.59072447679758,Ridge,0.012453794479370117,36
5,0.7498219540426811,17.112396982764313,KNN,0.2967202663421631,36
6,0.9014852474904745,10.738333407289893,rff,2.333730697631836,36
