,R2 score,RMSE,model,time,features
3,0.6491527688227487,20.33587830531707,Lasso,0.07225823402404785,28
4,0.6603520049921517,20.008679842426023,Ridge,0.006414175033569336,28
5,0.7720883573639316,16.39030982787982,KNN,0.14945101737976074,28
6,0.9149753922287239,10.010971526041661,rff,1.6195738315582275,28
0,0.6757017641339338,19.547403328944434,OLS,0.013158082962036133,29
1,0.6480745805503405,20.36301585354927,ElasticNet,0.09224987030029297,29
2,0.6755513210974163,19.551936856124634,BayesianRidge,0.018673181533813477,29
3,0.6562324325643113,20.1256182895197,Lasso,0.09921813011169434,29
4,0.6756996116926852,19.547468199120644,Ridge,0.006622314453125,29
5,0.7632699641080563,16.701037950742634,KNN,0.1596369743347168,29
6,0.9183646106908325,9.807448019936693,rff,1.6031758785247803,29
0,0.6771809824114748,19.552201270976482,OLS,0.013997077941894531,30
1,0.6592789930413578,20.087022163152156,ElasticNet,0.08965873718261719,30
2,0.6773590192502088,19.546808942771477,BayesianRidge,0.019833087921142578,30
3,0.6661406733249355,19.88373012819487,Lasso,0.09226083755493164,30
4,0.677184487209422,19.55209513302125,Ridge,0.006719827651977539,30
5,0.7783970149026734,16.199585657784958,KNN,0.17464733123779297,30
6,0.9184547872519321,9.826872890220727,rff,1.6818370819091797,30
0,0.6537943273818718,20.16595976566949,OLS,0.013149261474609375,31
1,0.6458008096067235,20.397436447702077,ElasticNet,0.09351086616516113,31
2,0.6540247959660652,20.159246424006273,BayesianRidge,0.01977992057800293,31
3,0.6494146823704731,20.29311276262132,Lasso,0.09539508819580078,31
4,0.6538011944527219,20.16575976640297,Ridge,0.006303310394287109,31
5,0.7594164416786745,16.810660543843394,KNN,0.1696009635925293,31
6,0.9147637463747801,10.00608028281144,rff,1.7444510459899902,31
0,0.6637505545317557,19.814929083464634,OLS,0.012498140335083008,32
1,0.6456240780274344,20.34200876147084,ElasticNet,0.08995795249938965,32
2,0.663784292794467,19.813934973195853,BayesianRidge,0.022259950637817383,32
3,0.6514552964464635,20.17395174942418,Lasso,0.11891698837280273,32
4,0.663752266169546,19.814878650631137,Ridge,0.007131099700927734,32
5,0.7616659268956764,16.682256771112087,KNN,0.16960740089416504,32
6,0.9114708934155737,10.167279784308253,rff,1.8115499019622803,32
0,0.6685277614173489,19.815056925069207,OLS,0.014905929565429688,33
1,0.6425909646836022,20.57569470215654,ElasticNet,0.09579920768737793,33
2,0.6684099664231385,19.818577441892174,BayesianRidge,0.024452686309814453,33
3,0.6501194478447354,20.357837587353757,Lasso,0.09043264389038086,33
4,0.6685262454042272,19.815102237841227,Ridge,0.007306098937988281,33
5,0.7591212474908833,16.891607846532242,KNN,0.18044018745422363,33
6,0.9136238882586869,10.115062457923251,rff,1.86350679397583,33
0,0.6751154465453693,19.569427373022886,OLS,0.014222860336303711,34
1,0.6497918617768688,20.31780103704118,ElasticNet,0.14895296096801758,34
2,0.6752876437771181,19.564240533846366,BayesianRidge,0.022435903549194336,34
3,0.6574410691278421,20.0946864201529,Lasso,0.08992743492126465,34
4,0.675125003819893,19.569139529597894,Ridge,0.007556915283203125,34
5,0.7655729511371168,16.623307795061923,KNN,0.19042277336120605,34
6,0.9111771497437878,10.232363002122996,rff,1.929506778717041,34
0,0.6760237106503348,19.587787802467254,OLS,0.015814781188964844,35
1,0.6534236604665846,20.25947711873811,ElasticNet,0.15763592720031738,35
2,0.6757981829491477,19.594604381904713,BayesianRidge,0.023362159729003906,35
3,0.6597160672199356,20.074720108782806,Lasso,0.09671998023986816,35
4,0.6760207958858915,19.58787591641397,Ridge,0.009551763534545898,35
5,0.7713644499010597,16.45510495128422,KNN,0.1916029453277588,35
6,0.9187264730155995,9.810775336610396,rff,2.022696018218994,35
0,0.6559588042828307,20.067416881926924,OLS,0.01443791389465332,36
1,0.6411533174381769,20.49465993204113,ElasticNet,0.21615910530090332,36
2,0.6559635210914903,20.06727931919994,BayesianRidge,0.022768020629882812,36
3,0.645785019153871,20.361966147682793,Lasso,0.22935152053833008,36
4,0.6559604466009539,20.067368984869578,Ridge,0.008143901824951172,36
5,0.7590186663280885,16.794920422997386,KNN,0.18699955940246582,36
6,0.9112051557650475,10.194833174606275,rff,2.1060049533843994,36
